Temp,k_original,,Temp_optimized,k_optimized,,Michael_high_temp_T,Michael_k,,Baldwin_and_Walker_T,Baldwin_and_Walker_k,,,Temp_Kyser,k_Kyser,,Temp_Srindharan,k_Sridharan,,Baldwin_and_Walker_T_reinturp,Baldwin_and_Walker_k_reinturp,,,Balch_T,Balch_k,,,,Temp_B,k_B,,,Temp_B_low,k_B_low
382,2.68473E+12,,382,4.62401E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,2.69242E+12,,383,4.6336E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,2.70012E+12,,384,4.64323E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,2.70785E+12,,385,4.65289E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,2.71559E+12,,386,4.66258E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,2.72335E+12,,387,4.6723E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,2.73112E+12,,388,4.68205E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,2.73891E+12,,389,4.69183E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,2.74672E+12,,390,4.70164E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,2.75455E+12,,391,4.71148E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,2.76239E+12,,392,4.72135E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,2.77025E+12,,393,4.73125E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,2.77813E+12,,394,4.74118E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,2.78603E+12,,395,4.75114E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,2.79394E+12,,396,4.76113E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,2.80187E+12,,397,4.77115E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,2.80981E+12,,398,4.7812E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,2.81778E+12,,399,4.79128E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,2.82576E+12,,400,4.80138E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,2.83375E+12,,401,4.81152E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,2.84177E+12,,402,4.82168E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,2.8498E+12,,403,4.83187E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,2.85784E+12,,404,4.8421E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,2.86591E+12,,405,4.85234E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,2.87399E+12,,406,4.86262E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,2.88209E+12,,407,4.87293E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,2.8902E+12,,408,4.88326E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,2.89833E+12,,409,4.89363E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,2.90648E+12,,410,4.90402E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,2.91464E+12,,411,4.91444E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,2.92282E+12,,412,4.92488E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,2.93102E+12,,413,4.93536E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,2.93924E+12,,414,4.94586E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,2.94747E+12,,415,4.95639E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,2.95571E+12,,416,4.96694E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,2.96398E+12,,417,4.97753E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,2.97226E+12,,418,4.98814E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,2.98055E+12,,419,4.99878E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,2.98886E+12,,420,5.00944E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,2.99719E+12,,421,5.02013E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,3.00554E+12,,422,5.03085E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,3.0139E+12,,423,5.0416E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,3.02228E+12,,424,5.05237E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,3.03067E+12,,425,5.06317E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,3.03908E+12,,426,5.074E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,3.04751E+12,,427,5.08485E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,3.05595E+12,,428,5.09573E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,3.06441E+12,,429,5.10663E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,3.07289E+12,,430,5.11756E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,3.08138E+12,,431,5.12852E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,3.08989E+12,,432,5.1395E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,3.09841E+12,,433,5.15051E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,3.10695E+12,,434,5.16155E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,3.11551E+12,,435,5.17261E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,3.12408E+12,,436,5.1837E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,3.13267E+12,,437,5.19481E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,3.14128E+12,,438,5.20595E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,3.1499E+12,,439,5.21711E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,3.15853E+12,,440,5.2283E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,3.16719E+12,,441,5.23952E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,3.17585E+12,,442,5.25076E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,3.18454E+12,,443,5.26202E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,3.19324E+12,,444,5.27331E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
