Time,CO_ppm,Relative_Uncertainty,W
0.0002492,312,0.05,0.028583098
0.0002496,314,0.05,0.028583098
0.00025,323,0.05,0.028583098
0.0002504,325,0.05,0.028583098
0.0002508,327,0.05,0.028583098
0.0002512,321,0.05,0.028583098
0.0002516,331,0.05,0.028583098
0.000252,323,0.05,0.028583098
0.0002524,325,0.05,0.028583098
0.0002528,327,0.05,0.028583098
0.0002532,323,0.05,0.028583098
0.0002536,327,0.05,0.028583098
0.000254,323,0.05,0.028583098
0.0002544,331,0.05,0.028583098
0.0002548,325,0.05,0.028583098
0.0002552,325,0.05,0.028583098
0.0002556,321,0.05,0.028583098
0.000256,325,0.05,0.028583098
0.0002564,327,0.05,0.028583098
0.0002568,321,0.05,0.028583098
0.0002572,325,0.05,0.028583098
0.0002576,325,0.05,0.028583098
0.000258,323,0.05,0.028583098
0.0002584,335,0.05,0.028583098
0.0002588,327,0.05,0.028583098
0.0002592,333,0.05,0.028583098
0.0002596,338,0.05,0.028583098
0.00026,331,0.05,0.028583098
0.0002604,338,0.05,0.028583098
0.0002608,335,0.05,0.028583098
0.0002612,335,0.05,0.028583098
0.0002616,337,0.05,0.028583098
0.000262,327,0.05,0.028583098
0.0002624,338,0.05,0.028583098
0.0002628,335,0.05,0.028583098
0.0002632,329,0.05,0.028583098
0.0002636,337,0.05,0.028583098
0.000264,344,0.05,0.028583098
0.0002644,340,0.05,0.028583098
0.0002648,342,0.05,0.028583098
0.0002652,344,0.05,0.028583098
0.0002656,342,0.05,0.028583098
0.000266,344,0.05,0.028583098
0.0002664,348,0.05,0.028583098
0.0002668,346,0.05,0.028583098
0.0002672,350,0.05,0.028583098
0.0002676,342,0.05,0.028583098
0.000268,344,0.05,0.028583098
0.0002684,348,0.05,0.028583098
0.0002688,354,0.05,0.028583098
0.0002692,352,0.05,0.028583098
0.0002696,354,0.05,0.028583098
0.00027,348,0.05,0.028583098
0.0002704,346,0.05,0.028583098
0.0002708,356,0.05,0.028583098
0.0002712,354,0.05,0.028583098
0.0002716,352,0.05,0.028583098
0.000272,354,0.05,0.028583098
0.0002724,352,0.05,0.028583098
0.0002728,358,0.05,0.028583098
0.0002732,354,0.05,0.028583098
0.0002736,358,0.05,0.028583098
0.000274,352,0.05,0.028583098
0.0002744,361,0.05,0.028583098
0.0002748,361,0.05,0.028583098
0.0002752,354,0.05,0.028583098
0.0002756,361,0.05,0.028583098
0.000276,361,0.05,0.028583098
0.0002764,352,0.05,0.028583098
0.0002768,367,0.05,0.028583098
0.0002772,360,0.05,0.028583098
0.0002776,358,0.05,0.028583098
0.000278,367,0.05,0.028583098
0.0002784,356,0.05,0.028583098
0.0002788,365,0.05,0.028583098
0.0002792,360,0.05,0.028583098
0.0002796,358,0.05,0.028583098
0.00028,365,0.05,0.028583098
0.0002804,360,0.05,0.028583098
0.0002808,365,0.05,0.028583098
0.0002812,367,0.05,0.028583098
0.0002816,365,0.05,0.028583098
0.000282,363,0.05,0.028583098
0.0002824,363,0.05,0.028583098
0.0002828,363,0.05,0.028583098
0.0002832,369,0.05,0.028583098
0.0002836,360,0.05,0.028583098
0.000284,363,0.05,0.028583098
0.0002844,373,0.05,0.028583098
0.0002848,367,0.05,0.028583098
0.0002852,369,0.05,0.028583098
0.0002856,377,0.05,0.028583098
0.000286,373,0.05,0.028583098
0.0002864,369,0.05,0.028583098
0.0002868,377,0.05,0.028583098
0.0002872,373,0.05,0.028583098
0.0002876,371,0.05,0.028583098
0.000288,375,0.05,0.028583098
0.0002884,373,0.05,0.028583098
0.0002888,373,0.05,0.028583098
0.0002892,373,0.05,0.028583098
0.0002896,379,0.05,0.028583098
0.00029,381,0.05,0.028583098
0.0002904,390,0.05,0.028583098
0.0002908,390,0.05,0.028583098
0.0002912,384,0.05,0.028583098
0.0002916,384,0.05,0.028583098
0.000292,390,0.05,0.028583098
0.0002924,381,0.05,0.028583098
0.0002928,388,0.05,0.028583098
0.0002932,390,0.05,0.028583098
0.0002936,388,0.05,0.028583098
0.000294,384,0.05,0.028583098
0.0002944,386,0.05,0.028583098
0.0002948,388,0.05,0.028583098
0.0002952,392,0.05,0.028583098
0.0002956,398,0.05,0.028583098
0.000296,388,0.05,0.028583098
0.0002964,402,0.05,0.028583098
0.0002968,398,0.05,0.028583098
0.0002972,396,0.05,0.028583098
0.0002976,396,0.05,0.028583098
0.000298,396,0.05,0.028583098
0.0002984,398,0.05,0.028583098
0.0002988,392,0.05,0.028583098
0.0002992,394,0.05,0.028583098
0.0002996,400,0.05,0.028583098
0.0003,390,0.05,0.028583098
0.0003004,398,0.05,0.028583098
0.0003008,396,0.05,0.028583098
0.0003012,400,0.05,0.028583098
0.0003016,390,0.05,0.028583098
0.000302,398,0.05,0.028583098
0.0003024,400,0.05,0.028583098
0.0003028,390,0.05,0.028583098
0.0003032,396,0.05,0.028583098
0.0003036,398,0.05,0.028583098
0.000304,398,0.05,0.028583098
0.0003044,400,0.05,0.028583098
0.0003048,398,0.05,0.028583098
0.0003052,400,0.05,0.028583098
0.0003056,392,0.05,0.028583098
0.000306,400,0.05,0.028583098
0.0003064,402,0.05,0.028583098
0.0003068,398,0.05,0.028583098
0.0003072,404,0.05,0.028583098
0.0003076,402,0.05,0.028583098
0.000308,402,0.05,0.028583098
0.0003084,402,0.05,0.028583098
0.0003088,408,0.05,0.028583098
0.0003092,406,0.05,0.028583098
0.0003096,396,0.05,0.028583098
0.00031,406,0.05,0.028583098
0.0003104,411,0.05,0.028583098
0.0003108,404,0.05,0.028583098
0.0003112,417,0.05,0.028583098
0.0003116,417,0.05,0.028583098
0.000312,408,0.05,0.028583098
0.0003124,415,0.05,0.028583098
0.0003128,413,0.05,0.028583098
0.0003132,417,0.05,0.028583098
0.0003136,417,0.05,0.028583098
0.000314,419,0.05,0.028583098
0.0003144,411,0.05,0.028583098
0.0003148,419,0.05,0.028583098
0.0003152,415,0.05,0.028583098
0.0003156,413,0.05,0.028583098
