Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
C4H10 + PC4H9O2 => PC4H9O2H + SC4H9,6.93E-01,1.00E-09,1.00E-09
PC4H9O2H + SC4H9 => C4H10 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C3H8 + SC4H9O2 => NC3H7 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
NC3H7 + SC4H9O2H => C3H8 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C3H8 + SC4H9O2 => IC3H7 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
IC3H7 + SC4H9O2H => C3H8 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C4H10 + SC4H9O2 => PC4H9 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
PC4H9 + SC4H9O2H => C4H10 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C4H10 + SC4H9O2 => SC4H9 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
SC4H9 + SC4H9O2H => C4H10 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
PC4H9 => SC4H9,6.93E-01,1.00E-09,1.00E-09
SC4H9 => PC4H9,6.93E-01,1.00E-09,1.00E-09
PC4H9 => C2H4 + C2H5,6.93E-01,1.00E-09,1.00E-09
C2H4 + C2H5 => PC4H9,6.93E-01,1.00E-09,1.00E-09
SC4H9 => C3H6 + CH3,6.93E-01,1.00E-09,1.00E-09
C3H6 + CH3 => SC4H9,6.93E-01,1.00E-09,1.00E-09
PC4H9 => C4H8-1 + H,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + H => PC4H9,6.93E-01,1.00E-09,1.00E-09
SC4H9 => C4H8-2 + H,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + H => SC4H9,6.93E-01,1.00E-09,1.00E-09
SC4H9 => C4H8-1 + H,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + H => SC4H9,6.93E-01,1.00E-09,1.00E-09
O2 + PC4H9 => C4H8-1 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + HO2 => O2 + PC4H9,6.93E-01,1.00E-09,1.00E-09
O2 + SC4H9 => C4H8-1 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + HO2 => O2 + SC4H9,6.93E-01,1.00E-09,1.00E-09
O2 + SC4H9 => C4H8-2 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + HO2 => O2 + SC4H9,6.93E-01,1.00E-09,1.00E-09
C4H8-1 => C3H5-A + CH3,6.93E-01,1.00E-09,1.00E-09
C3H5-A + CH3 => C4H8-1,6.93E-01,1.00E-09,1.00E-09
C4H8-1 => C2H3 + C2H5,6.93E-01,1.00E-09,1.00E-09
C2H3 + C2H5 => C4H8-1,6.93E-01,1.00E-09,1.00E-09
C4H8-1 => C4H71-3 + H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + H => C4H8-1,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + O2 => C4H71-3 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + HO2 => C4H8-1 + O2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + H => C4H71-1 + H2,6.93E-01,1.00E-09,1.00E-09
C4H71-1 + H2 => C4H8-1 + H,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + H => C4H71-2 + H2,6.93E-01,1.00E-09,1.00E-09
C4H71-2 + H2 => C4H8-1 + H,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + H => C4H71-3 + H2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + H2 => C4H8-1 + H,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + H => C4H71-4 + H2,6.93E-01,1.00E-09,1.00E-09
C4H71-4 + H2 => C4H8-1 + H,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + OH => C4H71-1 + H2O,6.93E-01,1.00E-09,1.00E-09
C4H71-1 + H2O => C4H8-1 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + OH => C4H71-2 + H2O,6.93E-01,1.00E-09,1.00E-09
C4H71-2 + H2O => C4H8-1 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + OH => C4H71-3 + H2O,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + H2O => C4H8-1 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + OH => C4H71-4 + H2O,6.93E-01,1.00E-09,1.00E-09
C4H71-4 + H2O => C4H8-1 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + CH3 => C4H71-3 + CH4,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + CH4 => C4H8-1 + CH3,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + CH3 => C4H71-4 + CH4,6.93E-01,1.00E-09,1.00E-09
C4H71-4 + CH4 => C4H8-1 + CH3,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + HO2 => C4H71-3 + H2O2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + H2O2 => C4H8-1 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + HO2 => C4H71-4 + H2O2,6.93E-01,1.00E-09,1.00E-09
C4H71-4 + H2O2 => C4H8-1 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + CH3O2 => C4H71-3 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + CH3O2H => C4H8-1 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + CH3O2 => C4H71-4 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C4H71-4 + CH3O2H => C4H8-1 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + CH3O => C4H71-3 + CH3OH,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + CH3OH => C4H8-1 + CH3O,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + CH3O => C4H71-4 + CH3OH,6.93E-01,1.00E-09,1.00E-09
C4H71-4 + CH3OH => C4H8-1 + CH3O,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + CH3CO3 => C4H71-3 + CH3CO3H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + CH3CO3H => C4H8-1 + CH3CO3,6.93E-01,1.00E-09,1.00E-09
C3H5-A + C4H8-1 => C3H6 + C4H71-3,6.93E-01,1.00E-09,1.00E-09
C3H6 + C4H71-3 => C3H5-A + C4H8-1,6.93E-01,1.00E-09,1.00E-09
C4H6 + C4H8-1 => 2 C4H71-3,6.93E-01,1.00E-09,1.00E-09
2 C4H71-3 => C4H6 + C4H8-1,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + C4H8-1 => C2H5O2H + C4H71-3,6.93E-01,1.00E-09,1.00E-09
C2H5O2H + C4H71-3 => C2H5O2 + C4H8-1,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + NC3H7O2 => C4H71-3 + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + NC3H7O2H => C4H8-1 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + IC3H7O2 => C4H71-3 + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + IC3H7O2H => C4H8-1 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + PC4H9O2 => C4H71-3 + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + PC4H9O2H => C4H8-1 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + SC4H9O2 => C4H71-3 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + SC4H9O2H => C4H8-1 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + CH3O2 => C4H8O1-2 + CH3O,6.93E-01,1.00E-09,1.00E-09
C4H8-2 => C4H71-3 + H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + H => C4H8-2,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + O2 => C4H71-3 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + HO2 => C4H8-2 + O2,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + H => C4H71-3 + H2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + H2 => C4H8-2 + H,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + OH => C4H71-3 + H2O,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + H2O => C4H8-2 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + CH3 => C4H71-3 + CH4,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + CH4 => C4H8-2 + CH3,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + HO2 => C4H71-3 + H2O2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + H2O2 => C4H8-2 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + CH3O2 => C4H71-3 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + CH3O2H => C4H8-2 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + CH3O => C4H71-3 + CH3OH,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + CH3OH => C4H8-2 + CH3O,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + C4H8-2 => C2H5O2H + C4H71-3,6.93E-01,1.00E-09,1.00E-09
C2H5O2H + C4H71-3 => C2H5O2 + C4H8-2,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + NC3H7O2 => C4H71-3 + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + NC3H7O2H => C4H8-2 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + IC3H7O2 => C4H71-3 + IC3H7O2H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + IC3H7O2H => C4H8-2 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + PC4H9O2 => C4H71-3 + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + PC4H9O2H => C4H8-2 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + SC4H9O2 => C4H71-3 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + SC4H9O2H => C4H8-2 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + HO2 => C4H8O1-2 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + HO2 => C4H8O2-3 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + CH3O2 => C4H8O2-3 + CH3O,6.93E-01,1.00E-09,1.00E-09
C4H8OH-1 => C4H8-1 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + OH => C4H8OH-1,6.93E-01,1.00E-09,1.00E-09
C4H8OH-2 => C4H8-2 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + OH => C4H8OH-2,6.93E-01,1.00E-09,1.00E-09
C4H8OH-1O2 => C4H8OH-1 + O2,6.93E-01,1.00E-09,1.00E-09
C4H8OH-1 + O2 => C4H8OH-1O2,6.93E-01,1.00E-09,1.00E-09
C4H8OH-2O2 => C4H8OH-2 + O2,6.93E-01,1.00E-09,1.00E-09
C4H8OH-2 + O2 => C4H8OH-2O2,6.93E-01,1.00E-09,1.00E-09
C4H8OH-1O2 => C2H5CHO + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C4H8OH-2O2 => 2 CH3CHO + OH,6.93E-01,1.00E-09,1.00E-09
C4H71-1 => C2H2 + C2H5,6.93E-01,1.00E-09,1.00E-09
C2H2 + C2H5 => C4H71-1,6.93E-01,1.00E-09,1.00E-09
C4H71-2 => C3H4-A + CH3,6.93E-01,1.00E-09,1.00E-09
C3H4-A + CH3 => C4H71-2,6.93E-01,1.00E-09,1.00E-09
C4H71-4 => C2H3 + C2H4,6.93E-01,1.00E-09,1.00E-09
C2H3 + C2H4 => C4H71-4,6.93E-01,1.00E-09,1.00E-09
C4H72-2 => C3H4-P + CH3,6.93E-01,1.00E-09,1.00E-09
C3H4-P + CH3 => C4H72-2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 => C4H6 + H,6.93E-01,1.00E-09,1.00E-09
C4H6 + H => C4H71-3,6.93E-01,1.00E-09,1.00E-09
C2H5 + C4H71-3 => C2H4 + C4H8-1,6.93E-01,1.00E-09,1.00E-09
C2H4 + C4H8-1 => C2H5 + C4H71-3,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + CH3O => C4H8-1 + CH2O,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + CH2O => C4H71-3 + CH3O,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + O => C2H3CHO + CH3,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + CH3 => C4H71-3 + O,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + HO2 => C4H7O + OH,6.93E-01,1.00E-09,1.00E-09
C4H7O + OH => C4H71-3 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + CH3O2 => C4H7O + CH3O,6.93E-01,1.00E-09,1.00E-09
C4H7O + CH3O => C4H71-3 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + C4H71-3 => C3H6 + C4H6,6.93E-01,1.00E-09,1.00E-09
C3H6 + C4H6 => C3H5-A + C4H71-3,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + O2 => C4H6 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H6 + HO2 => C4H71-3 + O2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + H => C4H6 + H2,6.93E-01,1.00E-09,1.00E-09
C4H6 + H2 => C4H71-3 + H,6.93E-01,1.00E-09,1.00E-09
C2H5 + C4H71-3 => C2H6 + C4H6,6.93E-01,1.00E-09,1.00E-09
C2H6 + C4H6 => C2H5 + C4H71-3,6.93E-01,1.00E-09,1.00E-09
C2H3 + C4H71-3 => C2H4 + C4H6,6.93E-01,1.00E-09,1.00E-09
C2H4 + C4H6 => C2H3 + C4H71-3,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + C4H71-3 => C2H5O + C4H7O,6.93E-01,1.00E-09,1.00E-09
C2H5O + C4H7O => C2H5O2 + C4H71-3,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + IC3H7O2 => C4H7O + IC3H7O,6.93E-01,1.00E-09,1.00E-09
C4H7O + IC3H7O => C4H71-3 + IC3H7O2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + NC3H7O2 => C4H7O + NC3H7O,6.93E-01,1.00E-09,1.00E-09
C4H7O + NC3H7O => C4H71-3 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
C4H7O => C2H3 + CH3CHO,6.93E-01,1.00E-09,1.00E-09
C2H3 + CH3CHO => C4H7O,6.93E-01,1.00E-09,1.00E-09
C4H7O => C2H3CHO + CH3,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + CH3 => C4H7O,6.93E-01,1.00E-09,1.00E-09
C4H6 => 2 C2H3,6.93E-01,1.00E-09,1.00E-09
2 C2H3 => C4H6,6.93E-01,1.00E-09,1.00E-09
C4H6 + OH => C2H5 + CH2CO,6.93E-01,1.00E-09,1.00E-09
C2H5 + CH2CO => C4H6 + OH,6.93E-01,1.00E-09,1.00E-09
C4H6 + OH => C3H5-A + CH2O,6.93E-01,1.00E-09,1.00E-09
C3H5-A + CH2O => C4H6 + OH,6.93E-01,1.00E-09,1.00E-09
C4H6 + OH => C2H3 + CH3CHO,6.93E-01,1.00E-09,1.00E-09
C2H3 + CH3CHO => C4H6 + OH,6.93E-01,1.00E-09,1.00E-09
C4H6 + O => C2H4 + CH2CO,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH2CO => C4H6 + O,6.93E-01,1.00E-09,1.00E-09
C4H6 + O => C3H4-A + CH2O,6.93E-01,1.00E-09,1.00E-09
C3H4-A + CH2O => C4H6 + O,6.93E-01,1.00E-09,1.00E-09
C2H3 + C2H4 => C4H6 + H,6.93E-01,1.00E-09,1.00E-09
C4H6 + H => C2H3 + C2H4,6.93E-01,1.00E-09,1.00E-09
C4H8O1-2 + OH => C3H5-A + CH2O + H2O,6.93E-01,1.00E-09,1.00E-09
C4H8O1-2 + H => C3H5-A + CH2O + H2,6.93E-01,1.00E-09,1.00E-09
C4H8O1-2 + O => C3H5-A + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C4H8O1-2 + HO2 => C3H5-A + CH2O + H2O2,6.93E-01,1.00E-09,1.00E-09
C4H8O1-2 + CH3O2 => C3H5-A + CH2O + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C4H8O1-2 + CH3 => C3H5-A + CH2O + CH4,6.93E-01,1.00E-09,1.00E-09
C4H8O1-3 + OH => C3H5-A + CH2O + H2O,6.93E-01,1.00E-09,1.00E-09
C4H8O1-3 + H => C3H5-A + CH2O + H2,6.93E-01,1.00E-09,1.00E-09
C4H8O1-3 + O => C3H5-A + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C4H8O1-3 + HO2 => C3H5-A + CH2O + H2O2,6.93E-01,1.00E-09,1.00E-09
C4H8O1-3 + CH3O2 => C3H5-A + CH2O + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C4H8O1-3 + CH3 => C3H5-A + CH2O + CH4,6.93E-01,1.00E-09,1.00E-09
C4H8O1-4 + OH => C3H5-A + CH2O + H2O,6.93E-01,1.00E-09,1.00E-09
C4H8O1-4 + H => C3H5-A + CH2O + H2,6.93E-01,1.00E-09,1.00E-09
C4H8O1-4 + O => C3H5-A + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C4H8O1-4 + HO2 => C3H5-A + CH2O + H2O2,6.93E-01,1.00E-09,1.00E-09
C4H8O1-4 + CH3O2 => C3H5-A + CH2O + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C4H8O1-4 + CH3 => C3H5-A + CH2O + CH4,6.93E-01,1.00E-09,1.00E-09
C4H8O2-3 + OH => C3H5-A + CH2O + H2O,6.93E-01,1.00E-09,1.00E-09
C4H8O2-3 + H => C3H5-A + CH2O + H2,6.93E-01,1.00E-09,1.00E-09
C4H8O2-3 + O => C3H5-A + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C4H8O2-3 + HO2 => C3H5-A + CH2O + H2O2,6.93E-01,1.00E-09,1.00E-09
C4H8O2-3 + CH3O2 => C3H5-A + CH2O + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C4H8O2-3 + CH3 => C3H5-A + CH2O + CH4,6.93E-01,1.00E-09,1.00E-09
PC4H9O2 => O2 + PC4H9,6.93E-01,1.00E-09,1.00E-09
O2 + PC4H9 => PC4H9O2,6.93E-01,1.00E-09,1.00E-09
SC4H9O2 => O2 + SC4H9,6.93E-01,1.00E-09,1.00E-09
O2 + SC4H9 => SC4H9O2,6.93E-01,1.00E-09,1.00E-09
CH2O + SC4H9O2 => HCO + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
HCO + SC4H9O2H => CH2O + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
CH3CHO + SC4H9O2 => CH3CO + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
CH3CO + SC4H9O2H => CH3CHO + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
HO2 + SC4H9O2 => O2 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
O2 + SC4H9O2H => HO2 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
IC3H7O2 + PC4H9 => IC3H7O + PC4H9O,6.93E-01,1.00E-09,1.00E-09
IC3H7O + PC4H9O => IC3H7O2 + PC4H9,6.93E-01,1.00E-09,1.00E-09
IC3H7O2 + SC4H9 => IC3H7O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
IC3H7O + SC4H9O => IC3H7O2 + SC4H9,6.93E-01,1.00E-09,1.00E-09
NC3H7O2 + PC4H9 => NC3H7O + PC4H9O,6.93E-01,1.00E-09,1.00E-09
NC3H7O + PC4H9O => NC3H7O2 + PC4H9,6.93E-01,1.00E-09,1.00E-09
NC3H7O2 + SC4H9 => NC3H7O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
NC3H7O + SC4H9O => NC3H7O2 + SC4H9,6.93E-01,1.00E-09,1.00E-09
2 SC4H9O2 => O2 + 2 SC4H9O,6.93E-01,1.00E-09,1.00E-09
NC3H7O2 + SC4H9O2 => NC3H7O + O2 + SC4H9O,6.93E-01,1.00E-09,1.00E-09
IC3H7O2 + SC4H9O2 => IC3H7O + O2 + SC4H9O,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + SC4H9O2 => C2H5O + O2 + SC4H9O,6.93E-01,1.00E-09,1.00E-09
CH3O2 + SC4H9O2 => CH3O + O2 + SC4H9O,6.93E-01,1.00E-09,1.00E-09
CH3CO3 + SC4H9O2 => CH3CO2 + O2 + SC4H9O,6.93E-01,1.00E-09,1.00E-09
HO2 + PC4H9O2 => O2 + OH + PC4H9O,6.93E-01,1.00E-09,1.00E-09
HO2 + SC4H9O2 => O2 + OH + SC4H9O,6.93E-01,1.00E-09,1.00E-09
H2 + PC4H9O2 => H + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
H + PC4H9O2H => H2 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
H2 + SC4H9O2 => H + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
H + SC4H9O2H => H2 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C2H6 + PC4H9O2 => C2H5 + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C2H5 + PC4H9O2H => C2H6 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C2H6 + SC4H9O2 => C2H5 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C2H5 + SC4H9O2H => C2H6 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + PC4H9O2 => C2H5CO + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C2H5CO + PC4H9O2H => C2H5CHO + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + SC4H9O2 => C2H5CO + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C2H5CO + SC4H9O2H => C2H5CHO + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
CH3 + SC4H9O2 => CH3O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
CH3O + SC4H9O => CH3 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C2H5 + SC4H9O2 => C2H5O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
C2H5O + SC4H9O => C2H5 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
IC3H7 + SC4H9O2 => IC3H7O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
IC3H7O + SC4H9O => IC3H7 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
NC3H7 + SC4H9O2 => NC3H7O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
NC3H7O + SC4H9O => NC3H7 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
PC4H9 + SC4H9O2 => PC4H9O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
PC4H9O + SC4H9O => PC4H9 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
SC4H9 + SC4H9O2 => 2 SC4H9O,6.93E-01,1.00E-09,1.00E-09
2 SC4H9O => SC4H9 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C3H5-A + SC4H9O2 => C3H5O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
C3H5O + SC4H9O => C3H5-A + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
CH2O + PC4H9O2 => HCO + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
HCO + PC4H9O2H => CH2O + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
CH3CHO + PC4H9O2 => CH3CO + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
CH3CO + PC4H9O2H => CH3CHO + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
HO2 + PC4H9O2 => O2 + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
O2 + PC4H9O2H => HO2 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C3H6 + PC4H9O2 => C3H5-A + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C3H5-A + PC4H9O2H => C3H6 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C3H6 + SC4H9O2 => C3H5-A + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C3H5-A + SC4H9O2H => C3H6 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C2H4 + PC4H9O2 => C2H3 + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C2H3 + PC4H9O2H => C2H4 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C2H4 + SC4H9O2 => C2H3 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C2H3 + SC4H9O2H => C2H4 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
CH3OH + PC4H9O2 => CH2OH + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
CH2OH + PC4H9O2H => CH3OH + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
CH3OH + SC4H9O2 => CH2OH + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
CH2OH + SC4H9O2H => CH3OH + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + PC4H9O2 => C2H3CO + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C2H3CO + PC4H9O2H => C2H3CHO + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + SC4H9O2 => C2H3CO + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
C2H3CO + SC4H9O2H => C2H3CHO + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
CH4 + PC4H9O2 => CH3 + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
CH3 + PC4H9O2H => CH4 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
CH4 + SC4H9O2 => CH3 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
CH3 + SC4H9O2H => CH4 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + PC4H9O2 => C4H7O + PC4H9O,6.93E-01,1.00E-09,1.00E-09
C4H7O + PC4H9O => C4H71-3 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C4H71-3 + SC4H9O2 => C4H7O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
C4H7O + SC4H9O => C4H71-3 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
H2O2 + PC4H9O2 => HO2 + PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
HO2 + PC4H9O2H => H2O2 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
H2O2 + SC4H9O2 => HO2 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
HO2 + SC4H9O2H => H2O2 + SC4H9O2,6.93E-01,1.00E-09,1.00E-09
2 PC4H9O2 => O2 + 2 PC4H9O,6.93E-01,1.00E-09,1.00E-09
PC4H9O2 + SC4H9O2 => O2 + PC4H9O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
NC3H7O2 + PC4H9O2 => NC3H7O + O2 + PC4H9O,6.93E-01,1.00E-09,1.00E-09
IC3H7O2 + PC4H9O2 => IC3H7O + O2 + PC4H9O,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + PC4H9O2 => C2H5O + O2 + PC4H9O,6.93E-01,1.00E-09,1.00E-09
CH3O2 + PC4H9O2 => CH3O + O2 + PC4H9O,6.93E-01,1.00E-09,1.00E-09
CH3CO3 + PC4H9O2 => CH3CO2 + O2 + PC4H9O,6.93E-01,1.00E-09,1.00E-09
