Time,CO_ppm,Relative_Uncertainty,W
0.00018759999999999998,50,0.05,0.020336296
0.000188,50,0.05,0.020336296
0.0001884,57,0.05,0.020336296
0.0001888,54,0.05,0.020336296
0.0001892,52,0.05,0.020336296
0.0001896,55,0.05,0.020336296
0.00018999999999999998,57,0.05,0.020336296
0.00019040000000000002,44,0.05,0.020336296
0.0001908,55,0.05,0.020336296
0.00019119999999999999,57,0.05,0.020336296
0.0001916,50,0.05,0.020336296
0.000192,50,0.05,0.020336296
0.00019240000000000001,54,0.05,0.020336296
0.00019280000000000002,57,0.05,0.020336296
0.0001932,54,0.05,0.020336296
0.0001936,55,0.05,0.020336296
0.000194,54,0.05,0.020336296
0.00019439999999999998,54,0.05,0.020336296
0.00019480000000000002,60,0.05,0.020336296
0.0001952,55,0.05,0.020336296
0.00019559999999999998,59,0.05,0.020336296
0.000196,62,0.05,0.020336296
0.0001964,49,0.05,0.020336296
0.0001968,62,0.05,0.020336296
0.0001972,63,0.05,0.020336296
0.0001976,55,0.05,0.020336296
0.000198,55,0.05,0.020336296
0.0001984,55,0.05,0.020336296
0.00019880000000000003,55,0.05,0.020336296
0.0001992,60,0.05,0.020336296
0.0001996,55,0.05,0.020336296
0.0002,57,0.05,0.020336296
0.0002004,59,0.05,0.020336296
0.0002008,59,0.05,0.020336296
0.0002012,57,0.05,0.020336296
0.0002016,57,0.05,0.020336296
0.000202,60,0.05,0.020336296
0.00020240000000000001,59,0.05,0.020336296
0.0002028,57,0.05,0.020336296
0.0002032,57,0.05,0.020336296
0.00020360000000000002,59,0.05,0.020336296
0.000204,52,0.05,0.020336296
0.0002044,62,0.05,0.020336296
0.0002048,60,0.05,0.020336296
0.0002052,60,0.05,0.020336296
0.0002056,63,0.05,0.020336296
0.000206,57,0.05,0.020336296
0.0002064,62,0.05,0.020336296
0.0002068,59,0.05,0.020336296
0.0002072,55,0.05,0.020336296
0.0002076,60,0.05,0.020336296
0.00020800000000000001,59,0.05,0.020336296
0.0002084,59,0.05,0.020336296
0.0002088,62,0.05,0.020336296
