Temp,k_original,,Temp_optimized,k_optimized,,,Baldwin_and_Walker_T,Baldwin_and_Walker_k,,,Temp_Kyser,k_Kyser,,Temp_Srindharan,k_Sridharan,,Baldwin_and_Walker_T_reinturp,Baldwin_and_Walker_k_reinturp
477,4.69763E+13,,477,4.94644E+13,,,,,,,,,,,,,,
478,4.69922E+13,,478,4.94998E+13,,,,,,,,,,,,,,
479,4.70082E+13,,479,4.95351E+13,,,,,,,,,,,,,,
480,4.70241E+13,,480,4.95703E+13,,,,,,,,,,,,,,
481,4.704E+13,,481,4.96055E+13,,,,,,,,,,,,,,
482,4.70559E+13,,482,4.96407E+13,,,,,,,,,,,,,,
483,4.70718E+13,,483,4.96758E+13,,,,,,,,,,,,,,
484,4.70878E+13,,484,4.97108E+13,,,,,,,,,,,,,,
485,4.71037E+13,,485,4.97458E+13,,,,,,,,,,,,,,
486,4.71196E+13,,486,4.97807E+13,,,,,,,,,,,,,,
487,4.71355E+13,,487,4.98156E+13,,,,,,,,,,,,,,
488,4.71514E+13,,488,4.98504E+13,,,,,,,,,,,,,,
489,4.71674E+13,,489,4.98851E+13,,,,,,,,,,,,,,
490,4.71833E+13,,490,4.99198E+13,,,,,,,,,,,,,,
491,4.71992E+13,,491,4.99544E+13,,,,,,,,,,,,,,
492,4.72151E+13,,492,4.9989E+13,,,,,,,,,,,,,,
493,4.7231E+13,,493,5.00235E+13,,,,,,,,,,,,,,
494,4.72469E+13,,494,5.0058E+13,,,,,,,,,,,,,,
495,4.72628E+13,,495,5.00924E+13,,,,,,,,,,,,,,
496,4.72787E+13,,496,5.01267E+13,,,,,,,,,,,,,,
497,4.72946E+13,,497,5.0161E+13,,,,,,,,,,,,,,
498,4.73105E+13,,498,5.01953E+13,,,,,,,,,,,,,,
499,4.73264E+13,,499,5.02295E+13,,,,,,,,,,,,,,
500,4.73423E+13,,500,5.02636E+13,,,,,,,,,,,,,,
501,4.73581E+13,,501,5.02977E+13,,,,,,,,,,,,,,
502,4.7374E+13,,502,5.03317E+13,,,,,,,,,,,,,,
503,4.73899E+13,,503,5.03657E+13,,,,,,,,,,,,,,
504,4.74058E+13,,504,5.03996E+13,,,,,,,,,,,,,,
505,4.74217E+13,,505,5.04335E+13,,,,,,,,,,,,,,
506,4.74375E+13,,506,5.04673E+13,,,,,,,,,,,,,,
507,4.74534E+13,,507,5.0501E+13,,,,,,,,,,,,,,
508,4.74693E+13,,508,5.05347E+13,,,,,,,,,,,,,,
509,4.74851E+13,,509,5.05684E+13,,,,,,,,,,,,,,
510,4.7501E+13,,510,5.0602E+13,,,,,,,,,,,,,,
511,4.75169E+13,,511,5.06355E+13,,,,,,,,,,,,,,
512,4.75327E+13,,512,5.0669E+13,,,,,,,,,,,,,,
513,4.75486E+13,,513,5.07025E+13,,,,,,,,,,,,,,
514,4.75644E+13,,514,5.07359E+13,,,,,,,,,,,,,,
